no,month,area,year,price,loc
243,3,전용면적 60㎡초과 85㎡이하,2020,2549,경북
244,3,전용면적 85㎡초과 102㎡이하,2020,,경북
245,3,전용면적 102㎡초과,2020,2756,경북
246,3,전체,2020,2968,경남
247,3,전용면적 60㎡이하,2020,2780,경남
248,3,전용면적 60㎡초과 85㎡이하,2020,2971,경남
249,3,전용면적 85㎡초과 102㎡이하,2020,3247,경남
250,3,전용면적 102㎡초과,2020,,경남
251,3,전체,2020,3955,제주
252,3,전용면적 60㎡이하,2020,4039,제주
253,3,전용면적 60㎡초과 85㎡이하,2020,3962,제주
254,3,전용면적 85㎡초과 102㎡이하,2020,,제주
255,3,전용면적 102㎡초과,2020,3601,제주
256,1,전체,2019,7600,서울
257,1,전용면적 60㎡이하,2019,7400,서울
258,1,전용면적 60㎡초과 85㎡이하,2019,8105,서울
259,1,전용면적 85㎡초과 102㎡이하,2019,6842,서울
260,1,전용면적 102㎡초과,2019,7787,서울
261,1,전체,2019,3583,인천
262,1,전용면적 60㎡이하,2019,3461,인천
263,1,전용면적 60㎡초과 85㎡이하,2019,3766,인천
264,1,전용면적 85㎡초과 102㎡이하,2019,3492,인천
265,1,전용면적 102㎡초과,2019,4455,인천
266,1,전체,2019,4258,경기
267,1,전용면적 60㎡이하,2019,4440,경기
268,1,전용면적 60㎡초과 85㎡이하,2019,4216,경기
269,1,전용면적 85㎡초과 102㎡이하,2019,4905,경기
270,1,전용면적 102㎡초과,2019,4931,경기
271,1,전체,2019,4068,부산
272,1,전용면적 60㎡이하,2019,3778,부산
273,1,전용면적 60㎡초과 85㎡이하,2019,4064,부산
274,1,전용면적 85㎡초과 102㎡이하,2019,4066,부산
275,1,전용면적 102㎡초과,2019,4293,부산
276,1,전체,2019,3983,대구
277,1,전용면적 60㎡이하,2019,3977,대구
278,1,전용면적 60㎡초과 85㎡이하,2019,3967,대구
279,1,전용면적 85㎡초과 102㎡이하,2019,4019,대구
280,1,전용면적 102㎡초과,2019,4067,대구
281,1,전체,2019,3311,광주
282,1,전용면적 60㎡이하,2019,3207,광주
283,1,전용면적 60㎡초과 85㎡이하,2019,3313,광주
284,1,전용면적 85㎡초과 102㎡이하,2019,,광주
285,1,전용면적 102㎡초과,2019,,광주
286,1,전체,2019,3689,대전
287,1,전용면적 60㎡이하,2019,,대전
288,1,전용면적 60㎡초과 85㎡이하,2019,3677,대전
289,1,전용면적 85㎡초과 102㎡이하,2019,,대전
290,1,전용면적 102㎡초과,2019,4877,대전
291,1,전체,2019,,울산
292,1,전용면적 60㎡이하,2019,,울산
293,1,전용면적 60㎡초과 85㎡이하,2019,,울산
294,1,전용면적 85㎡초과 102㎡이하,2019,,울산
295,1,전용면적 102㎡초과,2019,,울산
296,1,전체,2019,3055,세종
297,1,전용면적 60㎡이하,2019,3064,세종
298,1,전용면적 60㎡초과 85㎡이하,2019,3063,세종
299,1,전용면적 85㎡초과 102㎡이하,2019,3155,세종
300,1,전용면적 102㎡초과,2019,2990,세종
301,1,전체,2019,2359,강원
302,1,전용면적 60㎡이하,2019,2525,강원
303,1,전용면적 60㎡초과 85㎡이하,2019,2347,강원
304,1,전용면적 85㎡초과 102㎡이하,2019,3068,강원
305,1,전용면적 102㎡초과,2019,2319,강원
306,1,전체,2019,2367,충북
307,1,전용면적 60㎡이하,2019,2261,충북
308,1,전용면적 60㎡초과 85㎡이하,2019,2383,충북
309,1,전용면적 85㎡초과 102㎡이하,2019,2725,충북
310,1,전용면적 102㎡초과,2019,2689,충북
311,1,전체,2019,2463,충남
312,1,전용면적 60㎡이하,2019,2487,충남
313,1,전용면적 60㎡초과 85㎡이하,2019,2437,충남
314,1,전용면적 85㎡초과 102㎡이하,2019,2657,충남
315,1,전용면적 102㎡초과,2019,2729,충남
316,1,전체,2019,2380,전북
317,1,전용면적 60㎡이하,2019,2666,전북
318,1,전용면적 60㎡초과 85㎡이하,2019,2365,전북
319,1,전용면적 85㎡초과 102㎡이하,2019,3052,전북
320,1,전용면적 102㎡초과,2019,2651,전북
321,1,전체,2019,2414,전남
322,1,전용면적 60㎡이하,2019,2152,전남
323,1,전용면적 60㎡초과 85㎡이하,2019,2405,전남
324,1,전용면적 85㎡초과 102㎡이하,2019,2337,전남
325,1,전용면적 102㎡초과,2019,2664,전남
326,1,전체,2019,2638,경북
327,1,전용면적 60㎡이하,2019,2486,경북
328,1,전용면적 60㎡초과 85㎡이하,2019,2626,경북
329,1,전용면적 85㎡초과 102㎡이하,2019,2667,경북
330,1,전용면적 102㎡초과,2019,2905,경북
331,1,전체,2019,2932,경남
332,1,전용면적 60㎡이하,2019,2887,경남
333,1,전용면적 60㎡초과 85㎡이하,2019,2914,경남
334,1,전용면적 85㎡초과 102㎡이하,2019,3173,경남
335,1,전용면적 102㎡초과,2019,3703,경남
336,1,전체,2019,3424,제주
337,1,전용면적 60㎡이하,2019,3804,제주
338,1,전용면적 60㎡초과 85㎡이하,2019,3504,제주
339,1,전용면적 85㎡초과 102㎡이하,2019,3226,제주
340,1,전용면적 102㎡초과,2019,2952,제주
341,2,전체,2019,7627,서울
342,2,전용면적 60㎡이하,2019,7654,서울
343,2,전용면적 60㎡초과 85㎡이하,2019,8141,서울
344,2,전용면적 85㎡초과 102㎡이하,2019,6842,서울
345,2,전용면적 102㎡초과,2019,7328,서울
346,2,전체,2019,3590,인천
347,2,전용면적 60㎡이하,2019,3455,인천
348,2,전용면적 60㎡초과 85㎡이하,2019,3779,인천
349,2,전용면적 85㎡초과 102㎡이하,2019,3492,인천
350,2,전용면적 102㎡초과,2019,4835,인천
351,2,전체,2019,4256,경기
352,2,전용면적 60㎡이하,2019,4444,경기
353,2,전용면적 60㎡초과 85㎡이하,2019,4216,경기
