bno,bname,bstart,bend,bregister
134,남양주 다산지금 공공주택지구 이주자택지 공급공고,2016-09-26,2016-12-31,2016-09-26
135,남양주 다산진건 공공주택지구 이주자택지 공급공고,2016-09-26,2016-09-30,2016-09-26
136,다산신도시 이주자택지 공급관련 사전안내문,2016-09-02,2016-12-31,2016-09-02
137,고덕국제화계획지구 이주자택지 명의변경 접수 안내,2016-09-01,2017-12-31,2016-09-01
138,고덕국제화계획지구 이주자택지 명의변경 현장접수 기간연장 안내,2016-08-05,2016-12-31,2016-08-05
139,광교 택지개발지구 수의계약 공급공고,2016-01-13,2016-12-31,2016-01-13
140,수원 컨벤션센터 지원시설(상업)용지 민간사업자 공모,2016-01-04,2016-04-29,2016-01-04
141,고양관광문화단지(한류월드) 상업시설용지(C7) 수의계약 공급공고,2015-10-15,2015-12-31,2015-10-15
142,경기도시공사 산업단지내 수의계약대상필지 공급공고,2015-05-21,2015-12-31,2015-05-21
143,다산지금 공동주택용지 신청자격 공지사항,2014-12-04,2014-12-09,2014-12-04
144,"가평달전 단독주택,공동주택용지 공급공고 안내",2014-11-24,2014-12-24,2014-11-24
145,남양주 다산지금 공공주택지구 공동주택용지 공급공고,2014-11-21,2014-12-31,2014-11-21
146,안성공도 미매각용지 수의계약 안내(알선수수료 지급),2014-11-05,2014-12-31,2014-11-05
147,"안성공도 택지개발지구 연립주택용지, 상업용지 공급공고",2014-09-12,2014-09-26,2014-09-12
148,"광교신도시 잔여 공동주택용지[연립주택(B1, B3, B4블록), 10년공공임대(A6블록)] 공급 사전안내",2014-07-29,2014-09-10,2014-07-28
149,"광교택지개발지구 파워센터(C3,C4블록)용지공급 재공고",2014-07-15,2014-08-30,2014-07-15
150,가평달전 도시개발사업 단독주택용지·공동주택용지 공급공고,2014-07-03,2014-12-31,2014-07-03
151,화성동탄(2)지구 주상복합용지(C-17) 재공급 공고,2014-06-30,2014-08-01,2014-06-30
152,"광교택지개발지구 파워센터(C3,C4블록)용지 공급공고(무이자)",2014-06-27,2014-07-16,2014-06-27
153,화성동탄(2)지구 주상복합용지(C-17) 공급공고,2014-06-03,2014-07-04,2014-06-03
154,남양주 다산진건지구 미분양 공동주택용지(C-3) 선착순 수의계약 세부알림,2014-06-23,2014-12-31,2014-06-23
155,(재수정공고)남양주 다산진건 공공주택지구 공동주택용지 공급공고,2014-06-02,2014-06-26,2014-06-02
156,남양주 다산진건 공공주택사업 공동주택용지 공급공고문(경기도시공사 공고 제2014-0089)관련 2차 정정 알림,2014-06-05,2014-07-10,2014-06-05
157,남양주 다산진건 공동주택용지 공급관련 신문공고문 등 오기알림 (경기도시공사 공고 제2014-0089호 관련 1차 정정 알림),2014-06-02,2014-06-26,2014-06-02
158,광교신도시 근린생활시설 4-1블록 공급공고,2014-05-30,2014-06-20,2014-05-30
159,"광교택지개발지구 업무복합용지, 도시지원시설용지 공급공고",2014-02-17,2014-03-17,2014-02-17
160,고양관광문화단지(한류월드) 주택지특별공급 공급 공고,2014-02-07,2014-04-02,2014-02-07
161,동탄신도시 생활대책용지 최초 조합관련 명의 변경안내 ,2014-01-02,2014-02-28,2014-01-02
162,고양관광문화단지 분양안내,2013-12-17,2014-01-31,2013-12-17
163,화성동탄(2)지구 생활대책용지 공급관련 정정공고,2013-12-04,2013-12-31,2013-12-04
164,안성제4일반산업단지 산업시설용지 수의계약 공급공고,2013-11-29,2013-12-31,2013-11-29
165,안성원곡물류단지 물류시설용지 수의계약 공급공고,2013-11-29,2013-12-31,2013-11-29
166,화성동탄(2) 생활대책용지 공급대상자 추첨결과 및 계약체결 안내,2013-11-28,2013-12-31,2013-11-28
167,"광교신도시 593, 604번지(舊 에콘힐부지 C3, C4블록) 민간사업자 공모",2013-10-31,2013-12-31,2013-10-31
168,"광교신도시 605, 605-1번지(舊 에콘힐부지 일상3블록) 민간사업자 공모",2013-10-02,2013-12-31,2013-10-01
169,"광교신도시 내 605, 605-1번지 민간사업자공모 추가 공지사항",2013-10-31,2013-12-31,2013-10-21
170,안성공도 택지개발지구 준주거지 및 주차장용지 공급공고,2013-10-18,2013-11-18,2013-10-18
171,화성동탄(2)지구 생활대책용지 공급공고,2013-10-18,2013-12-10,2013-10-18
172,동탄2 이주자택지 명의변경 안내(구비서류 첨부),2013-10-01,2013-12-30,2013-10-01
173,동탄2신도시 이주자택지 제반사항 안내,2013-09-16,2013-09-16,2013-09-16
174,가평달전 도시개발사업  단독주택용지·공동주택용지 공급공고,2013-07-12,2013-07-23,2013-07-12
175,광교 수의계약 대상부지 공급안내,2013-07-03,2013-08-31,2013-07-03
176,안성공도 및 용인구갈3 택지지구 내 미매각용지 공급 공고,2013-03-21,2013-04-04,2013-03-21
177,고양관광문화단지(한류월드) 숙박시설용지 공급공고,2013-03-07,2013-03-29,2013-03-06
178,광교지구 택지개발사업(2단계) 준공에 따른 면적정산기준일 등 안내,2013-02-19,2013-05-31,2013-02-19
179,광교 수의계약 대상부지 공급안내,2012-12-20,2013-01-30,2012-12-20
180,화성동탄(2)지구 워터프론트콤플렉스 내 주상복합용지 공급공고,2012-11-14,2012-12-28,2012-11-14
181,고양관광문화단지 업무숙박시설용지 공급공고,2012-10-26,2012-11-15,2012-10-26
182,안성공도택지개발지구 준주거용지 재공급공고[1년6개월 무이자할부 및 선납할인 ],2012-10-08,2012-10-23,2012-10-08
